Employment date (UNCLASS);Time begin (Z) (UNCLASS);Time end (Z) (UNCLASS);Position MGRS (UNCLASS);Position LAT (UNCLASS);Position LONG (UNCLASS);Mission (UNCLASS);Town (UNCLASS);Province (UNCLASS);Country (UNCLASS);Weather (UNCLASS);Terrain (UNCLASS);Possible CDE issue (UNDCLASS);Comment (UNCLASS)
7-Oct-14;06:20;06:35;38SKF 703 698;36,74615732;42,42718297;CAS;Approximatelty 2nm east of Gursur village;on the border of Ninewa & Dahuk;Iraq;Clear weather;flat open terrain;ND;
7-Oct-14;06:20;06:35;38SKF 702 698;36,7461331;42,42606392;CAS;Approximatelty 2nm east of Gursur village;on the border of Ninewa & Dahuk;Iraq;Clear weather;flat open terrain;ND;
7-Oct-14;06:20;06:35;38SKF 703 698;36,74615732;42,42718297;CAS;Approximatelty 2nm east of Gursur village;on the border of Ninewa & Dahuk;Iraq;Clear weather;flat open terrain;ND;
8-Oct-14;08:32;;38SKF 679 616;36,67172751;42,40281409;CAS;Approximately 2 nm north of village Alganah;;Iraq;Clear weather;flat open terrain;ND;
11-Oct-14;07:22;08:07;38SKC 946 272;33,66486743;42,78467767;CAS;Approximately 80nm west of Bagdad;;Iraq;OVC 13K AGL;flat open terrain;ND;
11-Oct-14;07:22;08:07;38SKC 946 272;33,66486743;42,78467767;CAS;Approximately 80nm west of Bagdad;;Iraq;OVC 13K AGL;flat open terrain;ND;
11-Oct-14;06:09;;38SKC 881 322;33,70865226;42,71342706;CAS;Approximately 1 nm west of village Sahiliya;;Iraq;Marginal weather due to clouds & dust;flat open terrain;ND;
11-Oct-14;06:10;;38SKC 881 322;33,70865226;42,71342706;CAS;Approximately 1 nm west of village Sahiliya;;Iraq;Marginal weather due to clouds & dust;flat open terrain;ND;
11-Oct-14;07:22;08:07;38SKC 946 272;33,66486743;42,78467767;CAS;Approximately 80nm west of Bagdad;;Iraq;OVC 13K AGL;flat open terrain;ND;
11-Oct-14;07:22;08:07;38SKC 946 272;33,66486743;42,78467767;CAS;Approximately 80nm west of Bagdad;;Iraq;OVC 13K AGL;flat open terrain;ND;
17-Oct-14;05:59;;38SLD 680 791;35,04598396;43,55269358;CAS;IVO Bayji;;Iraq;Overcast 10k feet;open terrain;ND;
22-Oct-14;04:12;05:16;38SMB 063 706;33,17015298;43,99504544;CAS;Approximately 12nm east of Bagdad;;Iraq;Clear weather;flat open terrain;ND;
22-Oct-14;04:12;05:16;38SMB 063 705;33,1692511;43,99505574;CAS;Approximately 12nm east of Bagdad;;Iraq;Clear weather;flat open terrain;ND;
22-Oct-14;04:12;05:16;38SMB 063 706;33,17015298;43,99504544;CAS;Approximately 12nm east of Bagdad;;Iraq;Clear weather;flat open terrain;ND;
22-Oct-14;04:12;05:16;38SMB 059 704;33,16831453;43,9907766;CAS;Approximately 12nm east of Bagdad;;Iraq;Clear weather;flat open terrain;ND;
22-Oct-14;04:12;05:16;38SMB 059 705;33,16921641;43,99076626;CAS;Approximately 12nm east of Bagdad;;Iraq;Clear weather;flat open terrain;ND;
22-Oct-14;04:12;05:16;38SMB 059 705;33,16921641;43,99076626;CAS;Approximately 12nm east of Bagdad;;Iraq;Clear weather;flat open terrain;ND;
22-Oct-14;04:12;05:16;38SMB 047 707;33,17091517;43,97787695;CAS;Approximately 12nm east of Bagdad;;Iraq;Clear weather;flat open terrain;ND;
22-Oct-14;04:12;05:16;38SMB 042 705;33,1690673;43,97253608;CAS;Approximately 12nm east of Bagdad;;Iraq;Clear weather;flat open terrain;ND;
23-Oct-14;18:00;18:05;38SLE 900 118;35,34341669;43,7894931;AI;Approximately 4nm east of village of Al Hawijah;Kirkuk ;Iraq;Clear weather;flat open terrain;ND;
23-Oct-14;18:00;18:05;38SLE 900 118;35,34341669;43,7894931;AI;Approximately 4nm east of village of Al Hawijah;Kirkuk ;Iraq;Clear weather;flat open terrain;ND;
23-Oct-14;18:00;18:05;38SLE 900 118;35,34341669;43,7894931;AI;Approximately 4nm east of village of Al Hawijah;Kirkuk ;Iraq;Clear weather;flat open terrain;ND;
23-Oct-14;18:00;18:05;38SLE 900 118;35,34341669;43,7894931;AI;Approximately 4nm east of village of Al Hawijah;Kirkuk ;Iraq;Clear weather;flat open terrain;ND;
23-Oct-14;18:00;18:05;38SLE 900 118;35,34341669;43,7894931;AI;Approximately 4nm east of village of Al Hawijah;Kirkuk ;Iraq;Clear weather;flat open terrain;ND;
23-Oct-14;18:00;18:05;38SLE 900 118;35,34341669;43,7894931;AI;Approximately 4nm east of village of Al Hawijah;Kirkuk ;Iraq;Clear weather;flat open terrain;ND;
23-Oct-14;18:00;18:05;38SLE 900 118;35,34341669;43,7894931;AI;Approximately 4nm east of village of Al Hawijah;Kirkuk ;Iraq;Clear weather;flat open terrain;ND;
23-Oct-14;18:00;18:05;38SLE 900 118;35,34341669;43,7894931;AI;Approximately 4nm east of village of Al Hawijah;Kirkuk ;Iraq;Clear weather;flat open terrain;ND;
23-Oct-14;18:00;18:05;38SLE 900 118;35,34341669;43,7894931;AI;Approximately 4nm east of village of Al Hawijah;Kirkuk ;Iraq;Clear weather;flat open terrain;ND;
23-Oct-14;18:00;18:05;38SLE 900 118;35,34341669;43,7894931;AI;Approximately 4nm east of village of Al Hawijah;Kirkuk ;Iraq;Clear weather;flat open terrain;ND;
23-Oct-14;18:00;18:05;38SLE 900 118;35,34341669;43,7894931;AI;Approximately 4nm east of village of Al Hawijah;Kirkuk ;Iraq;Clear weather;flat open terrain;ND;
23-Oct-14;18:00;18:05;38SLE 900 118;35,34341669;43,7894931;AI;Approximately 4nm east of village of Al Hawijah;Kirkuk ;Iraq;Clear weather;flat open terrain;ND;
24-Oct-14;18:05;18:09;38SLF 327 309;36,40871822;43,1341659;AI;Approximately 3NM north of the village of Mosul Al Kindi;Ninawah;Iraq;Clear weather;flat open terrain;ND;
24-Oct-14;18:05;18:09;38SLF 327 309;36,40871822;43,1341659;AI;Approximately 3NM north of the village of Mosul Al Kindi;Ninawah;Iraq;Clear weather;flat open terrain;ND;
24-Oct-14;18:05;18:09;38SLF 327 309;36,40871822;43,1341659;AI;Approximately 3NM north of the village of Mosul Al Kindi;Ninawah;Iraq;Clear weather;flat open terrain;ND;
24-Oct-14;18:05;18:09;38SLF 327 309;36,40871822;43,1341659;AI;Approximately 3NM north of the village of Mosul Al Kindi;Ninawah;Iraq;Clear weather;flat open terrain;ND;
24-Oct-14;18:05;18:09;38SLF 327 309;36,40871822;43,1341659;AI;Approximately 3NM north of the village of Mosul Al Kindi;Ninawah;Iraq;Clear weather;flat open terrain;ND;
24-Oct-14;18:05;18:09;38SLF 327 309;36,40871822;43,1341659;AI;Approximately 3NM north of the village of Mosul Al Kindi;Ninawah;Iraq;Clear weather;flat open terrain;ND;
24-Oct-14;18:05;18:09;38SLF 327 309;36,40871822;43,1341659;AI;Approximately 3NM north of the village of Mosul Al Kindi;Ninawah;Iraq;Clear weather;flat open terrain;ND;
